Product_ID,Brand,Species,Product_Name,breed_size,Type,AAFCO,life_stage,complete_and_balanced,Ingredients ( protein_source),mentioned_diet_category,not_recommended_for,good_for / recommended_for,Protein (Dry Matter%),Protein (g/1000 kcal),Fat (Dry Matter%),Fat (g/1000 kcal),Fiber (Crude) (Dry Matter%),Fiber (Crude) (g/1000 kcal),Total Dietary Fiber (TDF) (Dry Matter%),Total Dietary Fiber (TDF) (g/1000 kcal),Carbohydrate (NFE) (Dry Matter%),Carbohydrate (NFE) (g/1000 kcal),Calcium (Dry Matter%),Calcium (g/1000 kcal),Phosphorus (Dry Matter%),Phosphorus (g/1000 kcal),Potassium (Dry Matter%),Potassium (g/1000 kcal),Sodium (Dry Matter%),Sodium (g/1000 kcal),Magnesium (Dry Matter%),Magnesium (g/1000 kcal),Copper (Dry Matter (mg/kg)),Copper (mg/1000 kcal),Taurine (Dry Matter%),Taurine (g/1000 kcal),Total Omega-6Fatty Acids (g/1000 kcal),Total Omega-6Fatty Acids (Dry Matter%),Total Omega-3Fatty Acids (g/1000 kcal),Total Omega-3Fatty Acids (Dry Matter%),EPA & DHA (Dry Matter%),EPA & DHA (g/1000 kcal),Vitamin C (Dry Matter%),Vitamin C (g/1000 kcal),Vitamin E (Dry Matter (IU/kg)),Vitamin E (IU/1000 kcal),Other_Vitamins,Zinc (mg/1000 kcal),Zinc (Dry Matter (mg/kg)),Vitamin D3 (IU/1000 kcal),Vitamin D3 (Dry Matter (IU/kg)),Iodine (g/1000 kcal),Iodine (Dry Matter%),Ash (g/1000 kcal),Ash (Dry Matter%),Chloride (g/1000 kcal),Chloride (Dry Matter%),Vitamin A (Dry Matter (IU/kg)),Vitamin A (IU/1000 kcal),Biotin (Dry Matter mg/kg)),Glucosamine (Dry Matter%),Glucosamine (g/1000 kcal)
H_D_P01,Hills,Dog,Gastrointestinal Biome Dog Food (with Chicken),"small,medium,large",Dry,M,Adult,Yes,"Chicken,Barley,Rice,Corn,Oat,Flaxseed,pumpkin","Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","reproduction,urinary problems,kidney disease","Gastrointestinal Health,Healthy Immune System",21,58,12.6,35,7.4,21,17.9,49,51.8,143,1.16,3.22,0.67,1.86,0.99,2.75,0.39,1.09,0.099,0.27,,,,,9.63,3.48,3.93,1.42,,,0.0168,0.0464,740,204.8," B1,B3,B5,A,B2,B6,B12,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P02,Hills,Dog,Gastrointestinal Biome Dog Food (Chicken and Vegetable Stew),"small,medium,large",Stew,M,Adult,Yes,"Chicken,Pork Liver,Rice,Barley,Flaxseed,pumpkin,carrot,Spinach,oat","Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","reproduction,urinary problems,kidney disease","Gastrointestinal Health,Healthy Immune System",25.3,66,15.1,40,7.3,19,20.4,54,45.9,121,1.08,2.83,0.57,1.49,0.95,2.5,0.35,0.91,0.093,0.25,,,,,8.39,3.19,3.58,1.36,,,0.0141,0.0372,623,163.9," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P03,Hills,Dog,i/d Dog Food (Small Bites Chicken Flavor),small,Dry,MG,all,Yes,"Rice,Corn,Chicken,Pea,Egg,Flaxseed","Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb",,"Gastrointestinal Health,Healthy Immune System,Skin Health",26.7,68,14.4,37,2.1,5,7.4,19,50.2,128,1.11,2.85,0.9,2.3,0.91,2.33,0.46,1.18,0.098,0.25,,,,,8.17,3.2,1.38,0.54,,,0.0085,0.0216,735,188.1," B3,B1,B5,A,B2,B7,B6,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P04,Hills,Dog,i/d Dog Food (Chicken Flavor),"small,medium,large",Dry,MG,all,Yes,"Rice,Corn,Chicken,pork liver,Pea,Egg,Flaxseed",",Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb",,"Gastrointestinal Health,Healthy Immune System,Skin Health",26.7,68,14.4,37,2.1,5,7.4,19,50.2,128,1.11,2.85,0.9,2.3,0.91,2.33,0.46,1.18,0.098,0.25,,,,,8.17,3.2,1.38,0.54,,,0.0085,0.0216,735,188.1," B3,B1,B5,A,B2,B7,B6,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P05,Hills,Dog,i/d Dog Food (with Turkey),"small,medium,large",Canned,MG,all,Yes,"Turkey,Rice,Pork Liver,Egg,Corn,Flaxseed",",Moderate Protein,Moderate Fat,Low Fiber,Moderate Carb",,"Gastrointestinal Health,Healthy Immune System,Skin Health",25.2,63,15.6,39,1.4,3,4.3,11,51.6,129,1.08,2.68,0.78,1.95,0.92,2.31,0.39,0.97,0.069,0.17,,,,,9.88,3.96,1.18,0.47,,,0.0161,0.0402,996,248.4," B1,B3,B5,A,B2,B6,B12,B7,K,B9,D3",,,,,,,,,,,,,,,
H_D_P06,Hills,Dog,i/d Dog Food (Chicken and Vegetable Stew),"small,medium,large",Stew,MG,all,Yes,"Chicken,Pork Liver,Rice,Egg,beet",",Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb",,"Gastrointestinal Health,Healthy Immune System,Skin Health",25.5,65,14.7,38,2.2,6,8.6,22,50.1,128,1.11,2.86,0.78,2,0.97,2.47,0.49,1.26,0.08,0.2,,,,,7.56,2.95,0.86,0.34,,,0.0141,0.0361,1094,280.2," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P07,Hills,Dog,i/d Dog Food (Chicken and Vegetables),"small,medium,large",Stew,MG,all,Yes,"Chicken,Pork Liver,Rice,Egg,beet,carrot,",",Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb",,"Gastrointestinal Health,Healthy Immune System,Skin Health",25.5,65,14.7,38,2.2,6,8.6,22,50.3,129,1.11,2.86,0.78,2,0.97,2.47,0.49,1.26,0.08,0.2,,,,,7.56,2.95,0.86,0.34,,,0.0141,0.0361,1094,280.2," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P08,Hills,Dog,i/d Low Fat Dog Food Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,Corn,Chicken,pork liver,Flaxseed","Moderate Protein,Low Fat,Low Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,urinary health,kidney health",26.1,72,7.5,21,1.8,5,5.2,14,58.6,163,0.85,2.35,0.64,1.77,0.92,2.56,0.45,1.24,0.104,0.29,,,,,4.94,1.78,1.9,0.68,,,0.0109,0.0301,747,207.5," B1,B3,B5,A,B6,B2,B12,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P09,Hills,Dog,i/d Low Fat Dog Food (Original Flavor),"small,medium,large",Canned,M,Adult,Yes,"Rice,Pork Liver,Turkey,Pork,Corn,Egg,Flaxseed","Moderate Protein,Low Fat,Moderate Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,urinary health,kidney health",24.6,69,7.4,21,2.8,8,8.2,23,58.8,166,0.77,2.18,0.6,1.69,0.95,2.68,0.5,1.41,0.102,0.29,,,,,6.68,2.37,1.78,0.63,,,0.0127,0.0357,817,230.2," B1,B3,K,B6,B5,B12,B2,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P10,Hills,Dog,"i/d Low Fat Dog Food (Rice, Vegetable & Chicken Stew)","small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Rice,Chicken,carrot,Egg,Flaxseed","Moderate Protein,Low Fat,Moderate Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,urinary health,kidney health",23.4,64,8.7,24,1.9,5,7,19,59.7,164,0.89,2.45,0.6,1.65,0.97,2.66,0.47,1.3,0.105,0.29,,,,,6.52,2.37,1.49,0.54,,,0.0195,0.0537,910,250.1," B1,B3,B5,B12,B6,B7,B2,K,B9,D3",,,,,,,,,,,,,,,
